,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
1.354691743850708,505,460,519,486,519,488,519,486,520,498
1.0640679597854614,505,460,519,486,519,488,519,486,520,498
1.0563122034072876,21,78,36,87,69,74,62,43,26,44
1.0449837446212769,505,460,519,486,519,488,519,486,520,498
1.017104983329773,312,193,319,253,327,258,348,241,362,219
1.0075527429580688,317,283,375,412,407,339,404,427,306,314
0.993364691734314,395,434,405,450,420,400,477,407,470,488
0.9851618409156799,221,296,282,281,282,264,252,275,212,280
0.9710832834243774,504,459,519,486,519,488,519,486,520,498
0.9652983546257019,488,447,488,442,480,424,491,447,500,471
0.9500473141670227,444,433,442,425,477,429,488,455,400,458
0.9429982900619507,282,183,284,180,206,163,173,199,201,217
0.9364502429962158,505,460,518,485,519,488,519,485,520,498
0.9291205406188965,39,6,83,33,75,46,22,81,51,20
0.9267104268074036,505,460,519,486,519,488,519,486,520,498
0.9212191104888916,342,422,341,424,365,425,471,339,462,435
0.9143559336662292,371,365,308,309,239,304,278,266,297,295
0.900618851184845,14,34,17,10,13,16,8,11,27,14
0.8981994390487671,504,460,518,486,519,488,519,486,520,498
0.8825021982192993,505,460,519,486,519,488,519,486,520,498
0.8764766454696655,163,53,202,99,142,107,115,109,73,19
0.8711295127868652,17,3,21,5,7,3,1,4,15,4
0.8594280481338501,505,460,519,486,519,488,519,486,520,498
0.8550869226455688,60,22,37,13,17,14,38,6,56,20
0.8517178893089294,321,236,381,336,244,284,362,256,367,368
0.8442418575286865,504,460,519,486,519,488,519,486,520,498
0.8327925801277161,3,0,2,1,0,3,0,1,2,1
0.8251378536224365,312,270,376,357,454,428,365,405,306,304
0.8176625370979309,232,330,371,340,360,362,344,352,190,363
0.813666045665741,505,460,519,486,519,488,519,486,520,498
0.8074455261230469,505,460,519,486,519,488,519,486,520,498
0.7973761558532715,505,460,519,486,519,488,519,486,520,498
0.7927950024604797,76,19,25,37,19,23,30,22,171,59
0.7851678729057312,203,91,78,37,46,32,42,62,98,88
