,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
0.3437860310077667,505,460,519,486,519,488,519,486,520,498
0.3075081408023834,505,460,519,486,519,488,519,486,520,498
0.295891135931015,499,459,513,476,517,485,493,281,506,497
0.2896347939968109,505,460,519,486,519,488,519,486,520,498
0.2769584059715271,503,459,519,477,519,486,508,486,519,498
0.2686797082424164,499,454,513,484,514,473,502,483,518,493
0.2614414691925049,504,390,471,463,512,487,506,486,516,497
0.25341400504112244,486,352,503,467,468,482,496,483,513,491
0.2497134804725647,503,453,517,484,518,464,511,486,519,497
0.2465258538722992,505,460,519,486,519,488,519,486,520,498
0.2405899614095688,503,460,516,477,512,487,490,486,515,498
0.23099246621131897,495,459,517,485,515,488,518,486,516,498
0.22805704176425934,477,460,517,486,517,486,519,486,518,498
0.22367338836193085,497,447,514,486,513,482,462,478,518,495
0.2226402759552002,490,432,415,475,504,257,494,216,451,334
0.22084803879261017,501,460,441,486,517,486,518,486,520,498
0.22036616504192352,475,300,513,481,511,486,413,486,502,496
0.21193309128284454,495,460,384,481,508,474,481,261,520,492
0.20728127658367157,505,460,519,486,519,488,519,486,520,498
0.20504646003246307,503,460,510,480,519,486,510,486,471,498
0.20449461042881012,491,452,421,476,509,477,486,483,501,493
0.20144951343536377,496,458,517,473,515,485,493,485,465,496
0.1987929791212082,477,220,509,482,508,482,361,486,498,494
0.19235320389270782,502,418,475,485,518,480,484,486,517,494
0.18972378969192505,502,460,392,486,519,488,519,486,520,498
0.18588711321353912,491,456,506,454,510,480,485,486,502,468
0.18320921063423157,489,453,355,382,509,468,460,480,344,490
0.18124744296073914,336,456,389,484,517,488,513,486,494,495
0.17788368463516235,505,460,519,486,519,488,519,486,520,498
0.17316505312919617,322,442,499,482,507,474,420,477,514,493
0.16888771951198578,505,460,519,486,519,488,519,486,520,498
0.1672249436378479,505,460,519,486,519,488,519,486,520,498
0.16405734419822693,436,460,516,485,517,487,518,485,514,496
0.15734368562698364,482,457,442,388,508,119,399,479,509,497
0.15297482907772064,482,456,507,432,358,476,470,471,485,477
0.1507982611656189,485,412,489,474,492,463,308,438,477,493
0.1458565890789032,481,150,485,465,274,461,511,128,514,494
0.12974394857883453,505,460,517,486,517,488,519,486,520,498
0.12130995839834213,481,458,494,471,196,483,513,481,513,497
0.11862388253211975,505,460,519,486,519,488,519,486,520,498
0.09864214062690735,505,460,519,486,519,488,519,486,520,498
0.07446421682834625,505,460,519,486,519,488,519,486,520,498
0.07348714768886566,504,455,510,485,517,308,503,486,520,493
0.07283268123865128,505,460,519,486,519,488,519,486,520,498
0.0708610936999321,415,416,417,195,480,143,448,19,471,13
0.06944352388381958,329,258,185,75,461,339,357,39,431,11
0.06890712678432465,501,460,512,486,518,488,519,486,519,498
0.06601148843765259,468,387,451,350,497,456,418,475,116,12
0.06488379091024399,426,121,186,459,492,97,113,482,491,496
0.06368080526590347,494,460,468,214,509,479,518,486,515,498
