,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
0.3246937096118927,505,460,519,486,519,488,519,486,520,498
0.2921042740345001,505,460,519,486,519,488,519,486,520,498
0.28394007682800293,505,460,519,486,519,488,519,486,520,498
0.27874189615249634,502,460,518,486,519,488,518,314,519,496
0.2720527946949005,505,460,519,486,519,488,519,486,520,498
0.2676294147968292,505,458,519,486,519,488,519,486,520,498
0.2623309791088104,492,323,511,481,514,480,467,485,505,496
0.2548859715461731,502,460,423,486,518,487,519,486,520,496
0.24516819417476654,481,241,516,484,519,488,519,485,509,498
0.24121271073818207,505,460,405,485,518,486,519,486,520,497
0.23680680990219116,476,458,503,451,493,471,508,481,433,495
0.2315100133419037,481,459,513,468,513,472,514,455,515,445
0.22492434084415436,505,460,519,486,519,488,519,486,520,498
0.2201627641916275,488,412,492,479,412,484,490,486,516,497
0.21358522772789001,459,460,506,478,514,386,464,485,516,497
0.21015577018260956,501,460,471,485,493,487,519,483,517,498
0.20887960493564606,480,457,481,470,509,468,475,193,484,461
0.2033376395702362,505,460,519,486,517,488,519,486,513,498
0.20176278054714203,489,460,505,415,501,488,501,483,511,474
0.1925632208585739,468,453,499,482,434,470,506,484,503,495
0.18921682238578796,462,418,431,383,366,481,467,486,373,498
0.18259108066558838,417,454,505,468,497,414,499,450,502,429
0.17994777858257294,494,438,516,460,519,483,506,485,469,490
0.17839619517326355,505,460,518,484,519,488,519,486,503,498
0.17310692369937897,505,460,519,486,519,488,519,486,520,498
0.17084665596485138,477,454,436,472,496,483,509,484,508,498
0.16630452871322632,505,460,519,486,519,488,519,486,520,498
0.15755829215049744,494,459,492,459,410,410,512,486,502,498
0.15516862273216248,505,460,519,486,519,488,519,486,520,498
0.15026000142097473,471,239,502,443,479,471,493,479,495,493
0.14613153040409088,480,454,517,474,516,476,482,481,511,459
0.13711096346378326,503,451,446,380,517,479,401,486,492,494
0.1314477026462555,501,459,513,458,516,485,498,486,494,372
0.12730392813682556,466,457,517,375,517,485,511,485,505,481
0.12580649554729462,487,452,504,486,517,488,518,486,491,497
0.1185612827539444,497,458,507,478,416,483,448,461,508,494
0.11425232142210007,489,443,510,428,500,476,501,291,409,443
0.10560411214828491,502,451,497,479,517,414,478,486,508,495
0.1016765609383583,497,159,471,484,517,485,402,486,511,498
0.09898180514574051,505,460,519,486,519,488,519,486,520,498
0.09383824467658997,505,460,519,486,519,488,519,486,520,498
0.08825770765542984,461,459,468,193,437,405,485,479,441,98
0.0846681073307991,505,460,518,483,519,488,519,486,520,498
0.07047471404075623,505,460,519,486,519,488,519,486,520,498
0.06718595325946808,505,460,519,486,519,488,519,486,520,498
0.06349792331457138,505,460,519,486,519,488,519,486,520,498
0.06264836341142654,424,409,320,112,421,81,171,103,150,483
0.060889679938554764,107,383,99,369,402,103,380,29,247,492
0.05905326083302498,504,460,519,485,417,488,519,485,520,498
0.05830039083957672,505,460,519,486,519,488,519,486,520,498
0.05784051865339279,505,460,519,486,519,488,519,486,520,498
0.057154394686222076,52,22,83,10,274,8,29,69,64,1
0.05703669413924217,73,45,114,437,61,66,456,417,342,491
0.05619183927774429,505,451,518,486,519,487,519,486,520,498
0.05582180246710777,504,459,515,486,517,488,518,425,520,498
0.05536826327443123,266,35,312,460,501,92,202,482,472,493
0.05463857203722,505,460,519,486,519,488,519,486,520,498
0.054409630596637726,505,460,519,486,519,488,519,486,520,498
0.05376866087317467,297,44,407,187,442,28,52,215,430,308
0.05346674844622612,96,2,385,72,41,300,48,374,31,10
0.05305977910757065,504,460,519,485,518,488,519,486,519,498
0.05287667363882065,66,321,299,49,81,304,253,14,206,7
0.052252717316150665,384,90,195,66,99,22,36,1,92,475
0.052069179713726044,265,459,467,467,484,453,519,486,512,498
0.0515446700155735,56,43,258,382,331,37,127,14,458,398
0.05136910080909729,383,28,269,458,152,136,388,477,100,494
0.05111088976264,440,12,198,94,473,62,49,480,104,22
0.05079761892557144,41,0,41,377,20,15,67,1,17,3
