,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
1.3658251762390137,505,460,519,486,519,488,519,486,520,498
1.0786387920379639,253,239,260,316,225,216,355,304,176,286
1.0409386157989502,505,460,519,486,519,488,519,486,520,498
1.0004123449325562,502,458,519,482,518,487,517,486,517,496
0.9790196418762207,505,460,519,486,519,488,519,486,520,498
0.9459578990936279,505,460,519,486,519,488,519,486,520,498
0.936374843120575,505,460,519,486,519,488,519,486,520,498
0.9238306879997253,19,2,15,12,22,7,8,8,6,3
0.9149421453475952,505,460,519,486,519,488,519,486,520,498
0.8907852172851562,503,456,512,429,491,459,467,479,508,493
0.868683934211731,26,19,35,11,17,15,5,16,20,15
0.8577606081962585,21,11,14,21,22,11,28,20,29,8
0.8412702083587646,11,4,21,10,6,14,8,5,8,1
0.8366696238517761,10,10,15,12,13,30,20,7,13,12
0.823525071144104,488,457,498,470,492,474,513,442,514,495
0.807443380355835,51,89,117,108,153,205,156,206,61,48
0.7923831939697266,502,460,519,486,519,488,519,486,520,498
0.7880274057388306,502,459,508,485,517,487,518,483,511,497
0.773798942565918,49,26,22,50,55,53,66,5,65,21
0.7684310078620911,4,16,6,3,1,1,2,1,6,0
0.7626818418502808,14,1,11,2,7,3,2,10,6,3
0.7604824304580688,471,460,492,474,511,482,513,481,512,489
0.7523837089538574,7,1,5,1,6,0,1,2,10,1
0.7473154067993164,505,460,519,486,518,488,519,486,520,498
0.7428643107414246,305,262,341,300,317,290,242,233,239,235
0.7362817525863647,245,103,264,213,266,257,210,258,274,191
0.7250766158103943,3,0,2,0,2,2,0,2,2,0
0.7186435461044312,505,460,519,486,519,488,519,486,520,498
0.7151779532432556,36,54,27,42,45,35,53,103,29,39
0.7081878781318665,4,1,6,2,8,18,1,6,2,0
0.6888102889060974,390,389,350,387,313,316,403,232,492,414
0.6840923428535461,505,460,519,486,519,488,519,486,520,498
0.6829586625099182,212,246,254,210,305,276,245,300,117,272
0.6817744374275208,495,457,513,478,514,483,512,484,519,498
0.6810446381568909,499,458,512,485,518,488,518,485,520,498
0.6745021343231201,429,434,436,422,444,439,464,414,457,486
0.6691564321517944,22,7,31,44,38,16,23,23,35,24
0.6592307686805725,3,3,4,3,0,2,0,0,0,1
0.6570020914077759,505,460,519,486,519,488,519,486,520,498
0.6537439823150635,119,73,167,143,124,132,160,93,194,67
0.6480756998062134,48,8,15,21,14,11,7,19,53,36
0.644070029258728,501,459,514,486,518,481,519,485,517,498
0.6378692388534546,155,186,181,212,185,211,255,196,159,211
0.6338103413581848,115,23,173,68,155,63,44,107,81,20
0.6252073049545288,382,371,375,427,427,421,432,392,444,411
0.6220180988311768,1,0,0,1,3,0,0,0,4,0
0.6187237501144409,25,12,13,5,7,4,8,9,35,4
0.6165260672569275,505,460,519,486,519,488,519,486,520,498
0.610338568687439,503,454,518,484,516,477,515,483,518,497
0.6087931394577026,4,0,0,1,1,0,1,0,4,1
0.6008373498916626,482,459,508,480,518,487,513,483,507,494
0.5981948375701904,17,6,8,19,9,34,10,22,7,3
0.5925077795982361,505,460,519,486,519,488,519,486,520,498
0.590166449546814,497,455,507,477,510,477,516,477,517,494
0.584199845790863,503,459,513,481,511,487,514,485,518,490
0.5756592750549316,505,460,519,486,519,488,519,486,520,498
0.5742267370223999,279,304,322,320,344,318,294,356,293,214
0.5718584060668945,2,1,5,2,2,2,1,2,0,1
0.5671011805534363,234,202,196,137,183,126,193,154,177,152
0.5617298483848572,0,0,0,0,0,0,0,0,0,0
0.5575880408287048,64,28,58,111,77,139,111,66,85,74
0.550845742225647,0,0,0,0,0,0,0,0,0,0
0.5476167798042297,5,0,2,0,0,0,0,0,0,0
0.5450844168663025,3,0,1,2,2,1,0,1,1,2
0.5428322553634644,55,76,58,120,116,103,156,121,193,138
0.5412264466285706,494,454,498,456,513,462,500,475,496,490
0.5373390316963196,488,452,508,485,517,482,512,477,519,498
0.5353372693061829,502,458,513,485,517,484,516,477,518,498
0.5315997004508972,5,1,3,0,0,2,0,0,2,0
0.5304016470909119,9,9,51,36,51,51,23,28,16,25
0.5280764102935791,0,0,0,0,0,0,0,0,0,0
0.5254878401756287,444,351,436,369,416,386,356,385,377,280
0.5196337699890137,13,21,29,68,32,45,42,72,31,62
0.5187945365905762,19,0,2,0,1,0,1,2,4,0
0.5165098309516907,360,330,339,307,323,345,288,335,311,365
0.512153685092926,505,460,518,486,519,488,519,486,520,498
0.5097625851631165,7,0,1,1,2,1,1,2,3,0
0.5021703243255615,53,33,12,28,30,42,26,33,42,95
0.5000821352005005,17,16,15,14,20,13,17,14,38,13
0.49752092361450195,43,15,40,21,28,25,36,26,73,25
0.4933357536792755,0,0,0,1,2,0,3,1,1,1
0.4918062388896942,503,456,517,484,519,488,512,486,516,498
0.48961037397384644,442,440,415,342,373,364,383,416,446,468
0.4861346483230591,0,0,1,0,0,1,0,0,0,0
0.4851897060871124,0,0,0,0,0,0,0,0,0,0
0.4837924838066101,0,2,0,0,0,0,0,0,0,2
0.481802374124527,11,1,4,0,2,0,0,0,4,0
0.4768071174621582,1,0,4,2,5,5,1,2,0,1
0.4745864272117615,30,65,42,36,27,33,33,29,54,83
0.4707237780094147,141,203,166,147,155,175,146,210,173,209
0.4700454771518707,505,460,519,486,519,488,519,486,520,498
0.46655189990997314,494,456,497,483,512,470,510,477,520,498
0.4647212326526642,0,0,0,0,0,0,0,0,0,0
0.46047475934028625,0,0,0,1,0,0,0,0,1,0
0.45911329984664917,503,460,519,486,519,488,519,486,516,498
0.45806512236595154,452,306,459,414,437,420,442,437,462,434
0.4561220407485962,0,0,0,0,0,0,0,0,0,0
0.4535994231700897,0,0,0,0,0,0,0,0,0,0
0.4486696422100067,0,0,0,0,0,0,0,0,0,0
0.44604218006134033,0,0,0,0,0,0,0,0,0,0
0.4448665380477905,1,0,0,0,0,0,0,0,0,0
0.44322139024734497,0,0,0,0,0,0,0,0,0,0
