,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
0.7623838186264038,505,460,519,486,519,488,519,486,520,498
0.7458316683769226,505,460,519,486,519,488,519,486,520,498
0.7158650159835815,477,401,407,321,355,376,343,435,484,491
0.6934125423431396,471,284,431,418,366,347,393,297,314,282
0.6706310510635376,505,460,519,486,519,488,519,486,520,498
0.6515339612960815,505,460,519,486,519,488,519,486,520,498
0.6490140557289124,505,443,516,484,519,481,517,486,497,498
0.6365452408790588,505,460,519,486,519,488,519,486,520,498
0.6084489822387695,309,309,359,291,402,321,292,347,358,213
0.601629376411438,505,460,519,486,519,488,519,486,520,498
0.5800615549087524,261,280,276,258,253,234,246,217,232,206
0.5783857703208923,505,460,519,486,519,488,519,486,520,498
0.5587933659553528,434,460,509,479,513,487,519,473,477,483
0.5424365401268005,480,452,463,397,434,475,494,455,510,476
0.5303837060928345,505,460,519,486,519,488,519,486,520,498
0.5253399610519409,505,460,519,486,519,488,519,486,520,498
0.5121755003929138,505,460,519,486,519,488,519,486,520,498
0.507792055606842,505,460,519,486,519,488,519,486,520,498
0.4969632625579834,505,460,519,486,519,488,519,486,520,498
0.48141005635261536,505,460,519,486,519,488,519,486,520,498
0.4790485203266144,344,262,327,231,329,191,278,365,331,227
0.47033292055130005,447,337,477,434,442,463,483,471,445,475
0.46862325072288513,317,244,244,284,364,253,244,210,279,210
0.4652228057384491,419,366,370,382,437,398,359,368,416,390
0.4574272632598877,492,458,512,484,495,485,515,478,517,497
0.45217835903167725,466,406,415,383,449,373,362,412,457,411
0.4477440416812897,505,460,519,486,518,488,517,486,520,498
0.4381086826324463,505,459,519,486,519,488,519,486,520,497
0.4333636462688446,170,111,199,131,134,126,148,232,219,198
0.42698901891708374,505,460,519,486,519,488,519,486,520,498
0.41383692622184753,173,144,207,168,162,185,200,143,205,220
0.4109102189540863,347,291,200,337,333,351,440,289,441,362
0.40826502442359924,465,453,495,464,469,467,489,387,492,487
0.40078362822532654,505,460,519,486,519,488,519,486,520,498
0.39951279759407043,269,375,304,270,361,430,236,400,229,216
0.38987699151039124,290,259,383,283,334,333,291,421,255,358
0.38467347621917725,501,460,508,486,515,488,519,482,519,498
0.3822108507156372,435,446,473,456,494,416,488,461,471,473
0.3732433021068573,243,88,260,152,245,176,117,307,131,172
0.36657682061195374,488,451,514,478,491,486,517,476,515,498
0.3641188144683838,503,460,516,485,514,487,519,481,518,498
0.36156022548675537,505,460,519,486,519,488,519,486,519,498
0.3540619909763336,444,440,395,468,404,388,477,325,470,463
0.35116708278656006,505,460,519,486,519,488,519,486,520,498
0.34559211134910583,505,460,519,486,519,488,519,486,520,498
0.34304651618003845,499,444,518,485,519,488,519,486,519,494
0.3352435231208801,352,311,326,160,425,159,429,421,260,403
0.32847660779953003,505,460,519,486,519,488,519,486,520,498
0.3264605402946472,505,460,519,486,519,488,519,483,520,498
0.3254845440387726,85,58,99,183,97,277,124,86,123,103
0.3162945806980133,505,460,519,486,519,488,519,486,520,498
0.31492483615875244,179,167,81,152,65,179,295,73,165,91
0.31331637501716614,81,18,87,57,49,51,46,89,40,20
0.31225529313087463,505,460,519,486,519,488,517,486,520,498
0.30472633242607117,115,221,250,53,224,57,77,310,135,35
0.2981889843940735,505,460,519,486,519,488,519,486,520,498
0.29671144485473633,491,460,516,482,505,392,515,471,518,493
0.29233208298683167,505,460,519,486,519,488,519,486,520,498
0.28539103269577026,384,455,431,477,490,458,444,467,471,491
0.2838159501552582,295,254,263,273,211,186,317,254,156,221
0.2796049416065216,472,417,434,439,349,435,480,361,415,463
0.27787715196609497,505,460,519,486,519,488,519,486,520,494
0.2752889394760132,497,456,513,474,497,485,514,366,513,497
0.2740271985530853,175,171,319,379,256,171,347,96,278,337
0.2718155086040497,84,16,197,158,77,94,48,150,29,49
0.2709721028804779,419,405,456,354,471,417,377,471,426,472
0.26595497131347656,77,13,46,30,135,27,35,36,58,159
0.2624622881412506,505,460,519,486,519,488,519,486,520,498
0.25974041223526,505,460,518,485,518,487,519,486,520,498
0.25872430205345154,504,458,517,486,519,486,519,486,514,498
0.25733163952827454,505,460,519,486,519,488,519,486,520,498
0.2551025450229645,81,344,171,169,117,278,319,212,253,333
0.25269195437431335,25,2,45,14,31,70,12,12,43,11
0.2513231635093689,505,460,519,486,519,488,519,486,520,498
0.24702483415603638,505,460,519,486,519,488,519,486,520,498
0.2461644858121872,462,458,506,483,512,484,518,446,508,467
0.24436330795288086,501,458,508,470,485,482,502,479,512,479
0.241266131401062,505,460,519,486,519,488,519,486,520,498
0.24001683294773102,440,298,235,318,372,187,432,261,505,346
0.23845241963863373,479,444,493,450,506,399,481,473,489,435
0.2333437204360962,501,460,516,482,519,488,519,486,520,498
0.23281314969062805,502,460,519,485,518,485,519,486,519,498
0.231944277882576,505,460,517,485,509,485,518,482,520,498
0.22985905408859253,494,456,519,485,517,482,517,486,508,489
0.22769343852996826,90,110,106,185,128,82,59,131,30,106
0.22564367949962616,58,240,66,63,129,41,151,25,55,159
0.2241867631673813,505,460,519,486,519,488,519,486,520,498
0.2229633778333664,209,300,159,253,134,273,214,338,363,299
