,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
0.5540645718574524,505,460,519,486,519,488,519,486,520,498
0.4806431829929352,505,460,498,486,519,486,519,486,520,498
0.4638911187648773,505,460,460,476,518,488,518,482,519,495
0.4353952705860138,487,444,460,453,418,450,414,348,464,421
0.43482983112335205,505,460,519,486,519,488,519,486,520,498
0.4238450229167938,497,409,508,477,497,468,476,414,507,357
0.39807265996932983,505,460,519,486,519,488,519,486,520,498
0.38586992025375366,505,460,519,486,519,488,519,486,520,498
0.37509265542030334,505,460,519,486,519,488,519,486,520,498
0.3633958101272583,505,460,519,486,519,488,519,486,520,498
0.36229947209358215,505,460,519,486,519,488,519,486,520,498
0.3274584710597992,430,326,454,422,437,414,398,462,443,312
0.3141865134239197,356,309,379,325,383,335,434,321,359,474
0.3104709982872009,504,459,502,477,510,449,485,484,519,497
0.29945287108421326,505,460,519,486,518,488,519,486,520,498
0.2907111644744873,505,460,519,486,519,488,519,486,520,498
0.2851685583591461,431,260,423,371,378,450,345,453,368,441
0.28451430797576904,505,460,514,482,517,475,517,484,520,496
0.2761034667491913,448,393,504,468,515,487,509,483,495,491
0.2637362480163574,472,459,492,450,455,475,496,469,512,489
0.2604197561740875,367,269,384,356,334,302,352,316,388,327
0.2513658404350281,485,457,498,465,499,473,490,475,500,449
0.24888357520103455,505,460,519,486,519,488,519,486,520,498
0.24356311559677124,358,392,316,309,301,340,325,267,353,389
0.240473672747612,316,208,308,295,323,312,336,331,332,296
0.22822345793247223,505,460,519,486,519,488,519,486,520,498
0.22661226987838745,294,365,410,334,339,365,408,301,324,393
0.2174168825149536,505,460,519,486,519,488,519,486,520,498
0.21211841702461243,460,456,494,462,496,477,513,483,501,468
0.2104664444923401,505,460,519,486,519,488,519,486,520,498
0.19399447739124298,480,422,326,360,395,297,409,408,503,496
0.1870855987071991,235,209,221,170,224,214,181,127,299,169
0.18618600070476532,505,458,509,485,519,488,519,484,516,498
0.1762043535709381,212,302,286,265,210,181,294,297,250,185
0.17371468245983124,190,143,233,276,222,366,348,156,300,163
0.17104043066501617,503,459,517,485,512,487,517,486,520,486
0.1654449701309204,505,460,519,486,519,488,519,486,520,498
0.15968503057956696,483,450,393,422,504,487,491,478,448,407
0.15832267701625824,370,132,452,444,433,208,375,183,328,474
0.15381713211536407,505,460,519,486,519,488,519,486,520,498
0.15263181924819946,259,252,327,386,350,267,158,137,310,266
0.14622294902801514,505,460,519,486,519,488,519,486,520,498
0.14502301812171936,505,460,519,486,519,488,519,486,520,498
0.14160668849945068,505,460,515,486,519,488,519,486,520,498
0.13881127536296844,453,73,469,225,340,400,452,170,384,148
0.13813047111034393,504,459,518,483,517,487,513,486,512,498
0.1371779888868332,505,460,475,486,518,486,519,486,520,498
0.13193097710609436,101,161,198,269,304,109,86,403,120,113
0.12983393669128418,505,460,519,486,519,488,519,478,520,498
0.12694120407104492,203,456,215,421,122,302,473,168,385,467
0.12415101379156113,505,460,519,486,519,488,519,486,520,498
0.12324882298707962,218,90,430,391,395,345,323,467,210,214
0.12109185755252838,279,200,504,467,496,472,481,464,442,217
0.11861678212881088,221,328,421,272,437,411,242,361,101,45
0.11769212782382965,505,460,519,486,519,488,519,486,519,498
0.11623653769493103,317,444,341,432,459,330,391,451,499,458
0.1129794642329216,505,460,519,486,519,488,519,486,520,498
0.1118583232164383,434,460,514,483,493,488,515,412,501,498
0.1100723072886467,452,460,519,484,519,488,519,486,518,498
0.10865062475204468,299,326,363,226,186,189,91,419,439,409
0.10706458240747452,505,460,519,486,519,488,519,486,520,498
0.10608651489019394,55,30,56,64,102,290,42,23,267,32
0.10448667407035828,433,434,298,402,412,224,471,465,492,498
0.10438623279333115,505,460,519,486,519,488,519,486,520,498
0.10388428717851639,505,456,518,486,518,488,519,486,516,498
0.10148286819458008,505,460,519,486,519,488,519,486,520,498
0.1011820137500763,502,263,505,476,468,449,468,477,516,495
0.09956319630146027,505,460,519,486,519,488,519,486,520,498
0.09941862523555756,50,7,50,32,24,65,153,13,45,82
0.09665773808956146,505,460,519,486,519,488,519,486,520,498
0.09623159468173981,502,366,511,476,517,488,497,485,298,497
0.09532076865434647,505,460,519,486,519,488,519,486,520,498
0.09415803849697113,505,457,518,484,519,485,518,486,515,498
0.09225794672966003,505,460,519,486,519,488,519,486,520,498
0.09142069518566132,35,3,42,47,45,36,15,167,57,240
0.09024007618427277,505,457,519,486,519,488,519,486,520,498
0.08983060717582703,182,304,325,189,452,292,149,253,118,12
0.089480921626091,505,460,519,486,519,488,519,486,520,498
0.08907055109739304,505,460,519,486,519,488,519,486,520,498
0.08777611702680588,500,460,517,486,519,488,519,486,486,498
0.08767609298229218,487,98,513,469,503,476,471,476,446,491
0.08662931621074677,322,124,48,104,34,32,287,139,204,288
0.08606881648302078,475,453,494,330,424,474,491,290,414,410
0.08503301441669464,160,49,296,177,67,403,196,398,187,383
0.08427199721336365,12,8,10,4,46,14,2,58,8,3
0.08383641391992569,183,30,10,37,13,32,13,4,33,23
0.08334633708000183,434,436,508,475,507,487,514,466,280,305
0.08214713633060455,423,261,335,457,494,469,360,334,322,123
0.08153118193149567,504,456,516,484,518,486,519,486,519,498
0.0808257907629013,234,374,465,481,408,471,423,439,480,365
0.08051899820566177,256,8,186,160,246,127,11,90,65,12
0.07990113645792007,4,0,2,3,2,1,0,0,10,1
0.0794503316283226,93,106,93,166,206,202,137,17,97,264
0.07914987951517105,505,460,519,486,519,488,519,486,520,498
0.0784340426325798,20,189,6,7,27,7,49,3,16,10
0.07799749076366425,505,460,519,486,519,488,519,486,520,498
0.07746991515159607,445,424,379,78,360,88,142,389,453,182
0.07683207839727402,4,69,21,18,15,20,46,2,47,4
0.07657070457935333,505,460,519,486,519,488,519,486,520,498
0.07583274692296982,267,285,424,205,420,273,187,170,134,48
0.07578112930059433,501,460,510,370,517,406,431,486,514,485
0.07501495629549026,505,460,519,486,519,488,519,486,520,498
0.07436205446720123,504,460,519,480,513,486,519,485,519,498
0.07414954900741577,505,460,519,486,519,488,519,486,520,498
0.07411649823188782,449,280,449,410,321,347,422,249,457,353
0.07322798669338226,176,431,298,453,486,460,470,322,336,226
0.07285157591104507,24,228,48,28,164,14,23,17,22,9
0.07238391041755676,462,459,278,457,422,461,465,442,506,496
0.07201317697763443,263,370,503,353,511,415,434,343,311,76
0.07161828875541687,28,2,2,14,16,0,0,1,5,1
0.07134291529655457,503,460,489,482,514,446,513,480,519,498
0.07055371254682541,60,20,164,85,28,213,81,243,45,6
0.07022034376859665,446,429,445,345,173,385,477,234,422,489
0.06991647183895111,505,459,519,485,519,488,519,486,518,497
0.06950917094945908,474,378,449,409,421,347,343,474,439,472
0.06938556581735611,503,457,510,480,502,473,503,484,468,493
0.0691133514046669,59,369,16,34,21,41,170,163,131,97
0.0687304437160492,0,0,2,0,0,0,2,0,0,0
0.06853805482387543,171,80,13,8,18,9,15,65,29,78
0.06808123737573624,0,0,2,0,0,0,0,0,1,9
0.06750818341970444,64,6,33,8,113,14,23,181,35,33
0.06740649789571762,31,13,74,20,5,16,51,19,47,412
0.06680440902709961,4,1,0,1,0,0,0,0,0,0
0.06646323204040527,498,457,502,451,499,400,513,485,519,498
0.065980464220047,10,0,8,21,0,2,7,0,8,7
0.06588145345449448,148,9,38,6,5,52,33,10,161,437
0.06552144885063171,0,0,1,0,0,0,0,0,0,0
0.065449558198452,418,410,259,394,341,375,453,471,500,496
0.06462269276380539,0,0,0,0,4,0,0,0,0,0
0.06438463181257248,1,3,22,4,1,7,34,0,3,1
0.06420356780290604,0,0,0,2,0,0,0,0,0,1
0.0639720931649208,0,1,0,2,0,0,7,0,0,0
0.06373652815818787,452,456,399,475,363,451,494,237,451,497
0.06323804706335068,7,7,6,12,11,26,23,2,40,2
0.06311872601509094,2,1,9,5,6,11,0,2,7,6
0.06292247027158737,13,198,8,10,7,9,128,18,85,225
0.06261582672595978,144,110,226,291,431,73,124,383,89,22
0.06246478855609894,49,343,92,91,34,33,178,23,163,56
0.06233137100934982,24,107,44,36,14,8,73,4,41,11
0.061839353293180466,0,0,2,0,4,0,0,1,0,0
0.06176865100860596,505,460,519,486,519,488,519,486,520,498
0.06164480745792389,457,74,463,424,443,447,315,413,338,289
0.06147695332765579,505,460,519,486,519,488,519,486,519,498
0.061100658029317856,239,240,234,378,354,341,410,394,215,486
0.06092413142323494,0,0,0,0,0,0,0,0,0,0
0.0607052817940712,1,1,0,7,2,0,1,3,8,39
0.06037592142820358,0,0,0,0,0,0,0,0,0,0
0.060321155935525894,8,1,11,2,3,0,0,1,9,0
0.06013961881399155,0,0,0,0,0,0,0,0,0,0
0.05983194708824158,0,1,0,0,0,0,0,0,0,0
0.05958713963627815,8,0,1,9,0,1,1,0,1,1
0.0593896210193634,1,0,0,1,2,0,0,5,0,1
0.0592869371175766,0,0,0,0,0,0,0,0,0,0
0.05914183333516121,3,9,2,0,1,0,1,2,137,5
0.05902029573917389,0,0,0,0,0,0,0,0,0,0
0.05898642539978027,0,0,0,0,0,0,0,0,0,0
0.05867274850606918,395,397,363,200,306,353,421,389,365,268
0.05834292247891426,1,3,3,8,23,44,11,26,0,1
0.058308109641075134,0,0,0,0,0,0,0,0,0,0
0.05815434083342552,7,0,5,6,1,3,42,2,5,2
0.057809315621852875,0,0,0,0,0,0,0,0,0,0
0.05768953263759613,24,11,72,1,11,1,5,4,6,2
0.05757187679409981,49,129,37,54,18,152,234,51,62,86
0.05741915851831436,501,418,492,465,489,478,472,486,518,498
0.05722780525684357,7,2,11,7,8,5,3,4,9,1
0.057065464556217194,26,3,8,7,10,2,11,1,1,5
0.05705524608492851,0,0,0,0,0,0,0,0,0,0
0.05671987310051918,0,0,0,0,0,0,0,0,0,0
0.05667421594262123,0,0,0,0,0,0,0,0,0,0
0.056573133915662766,0,0,0,0,0,0,0,0,0,0
0.05643797665834427,0,0,0,0,0,0,0,0,0,0
0.0563080757856369,0,0,0,0,0,0,0,0,0,0
0.0560716949403286,0,0,0,0,0,0,0,0,0,0
0.055886249989271164,0,0,0,0,0,0,0,0,0,0
0.05584223195910454,0,0,0,0,0,0,0,0,0,0
0.055658143013715744,12,1,5,2,2,0,0,5,6,0
0.055555377155542374,0,0,0,0,0,0,1,0,1,0
0.055224720388650894,0,0,0,0,0,0,0,0,0,0
0.05512068793177605,0,0,0,0,0,0,0,0,0,0
0.05509728938341141,160,31,106,21,68,43,47,4,67,17
0.055008891969919205,0,0,0,0,1,0,0,0,2,0
0.05486345663666725,0,0,0,0,0,0,0,0,0,0
0.054717399179935455,0,0,0,0,0,0,0,0,1,0
0.05464334785938263,11,171,2,2,1,0,12,2,59,165
0.054498571902513504,0,0,0,0,0,0,0,0,0,0
0.054401006549596786,0,0,0,1,0,0,0,0,0,0
0.054077185690402985,0,0,0,0,0,0,0,0,0,0
0.054030124098062515,5,0,15,8,32,36,11,10,4,0
0.05390885844826698,173,9,8,10,64,9,23,96,226,247
0.053809501230716705,0,0,1,0,0,0,0,0,0,0
0.05367453768849373,0,0,0,0,0,0,0,0,0,0
0.05359962210059166,0,0,0,0,0,0,0,0,0,0
0.05357198044657707,0,0,0,0,0,0,0,0,0,0
0.05333710461854935,0,0,0,0,0,0,0,0,0,0
0.05318298563361168,0,0,0,0,0,0,0,0,0,0
0.05314001813530922,1,0,0,1,0,0,0,0,1,0
0.05306283012032509,0,0,0,0,0,0,0,0,0,0
0.05298726260662079,6,78,5,4,19,12,2,56,1,0
0.05287995561957359,0,0,0,0,0,0,0,0,0,0
0.05275719612836838,0,0,0,0,0,0,0,0,0,1
0.052644066512584686,0,0,0,0,0,0,0,0,0,0
0.05251406505703926,0,0,0,0,1,0,0,0,0,0
0.05241849645972252,0,0,0,0,0,0,0,0,0,0
0.052176013588905334,0,0,0,0,0,0,2,0,9,1
0.051954254508018494,0,0,0,0,0,0,0,0,0,0
0.05185849592089653,0,0,0,0,0,1,0,0,0,0
0.05174146965146065,0,0,0,0,0,0,0,0,0,0
0.051703937351703644,0,0,0,0,0,0,0,0,0,0
0.051600053906440735,0,0,0,0,0,0,0,0,0,0
0.05153609439730644,0,0,0,0,0,0,0,0,0,0
0.05143037438392639,2,0,0,0,0,0,0,0,0,0
0.051362812519073486,0,0,0,3,1,0,0,0,0,1
0.05126166343688965,445,459,430,423,354,227,499,168,517,496
0.051157064735889435,0,0,0,0,0,0,0,0,0,0
0.051044002175331116,0,0,0,0,0,0,0,0,0,0
0.05087672173976898,0,0,0,0,0,0,0,0,0,0
0.05081161856651306,0,0,0,0,0,0,0,0,0,0
0.050720322877168655,0,0,0,0,0,0,0,0,0,0
0.05065465345978737,42,1,4,13,40,5,13,4,45,7
0.050545454025268555,0,0,0,0,0,0,0,0,0,0
0.05049409344792366,0,0,0,0,0,0,0,0,0,0
0.05035974457859993,0,0,0,0,0,0,0,0,0,0
0.05030984804034233,0,0,0,0,0,0,0,0,0,0
0.05026322230696678,0,0,0,0,0,0,0,0,0,0
0.05015811324119568,0,0,0,0,0,0,0,0,0,0
0.04997899755835533,0,0,0,0,0,0,0,0,0,0
0.0499643012881279,0,0,0,0,0,0,0,0,0,0
0.04989360272884369,0,0,0,0,0,0,0,0,0,0
