,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
1.3635233640670776,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
1.1092323064804077,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
1.0932862758636475,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
1.0448710918426514,410.0,456.0,467.0,477.0,506.0,475.0,513.0,453.0,453.0,486.0
1.0220508575439453,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
0.9954041242599487,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
0.9566954374313354,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.945316731929779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.918389081954956,483.0,455.0,496.0,475.0,501.0,483.0,509.0,482.0,508.0,494.0
0.8880025148391724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8767104744911194,42.0,68.0,68.0,99.0,97.0,95.0,108.0,81.0,83.0,85.0
0.8721709251403809,29.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.854821503162384,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.8346087336540222,271.0,326.0,290.0,313.0,365.0,322.0,317.0,290.0,212.0,270.0
0.824306070804596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8028919696807861,34.0,2.0,19.0,9.0,4.0,3.0,5.0,0.0,16.0,0.0
0.7912507057189941,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
0.777447521686554,6.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0
0.7651833891868591,2.0,1.0,11.0,5.0,3.0,12.0,9.0,4.0,1.0,0.0
0.7593972086906433,319.0,87.0,169.0,126.0,102.0,110.0,89.0,149.0,306.0,199.0
0.7461380362510681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7339188456535339,399.0,436.0,472.0,463.0,481.0,463.0,494.0,453.0,419.0,477.0
0.7200653553009033,62.0,11.0,42.0,3.0,2.0,4.0,3.0,1.0,41.0,0.0
0.709721028804779,503.0,460.0,518.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
0.7094200253486633,505.0,460.0,519.0,486.0,519.0,488.0,519.0,486.0,520.0,498.0
0.6939164996147156,1.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0
0.6823886632919312,499.0,460.0,516.0,486.0,519.0,488.0,519.0,486.0,518.0,498.0
0.6624494194984436,499.0,460.0,517.0,486.0,519.0,488.0,519.0,486.0,519.0,498.0
0.6610210537910461,340.0,205.0,216.0,94.0,197.0,112.0,186.0,231.0,321.0,234.0
0.6559278964996338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
