,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
1.0899311304092407,505,460,519,486,519,488,519,486,520,498
0.919242262840271,505,460,519,486,519,488,519,486,520,498
0.8608842492103577,73,116,241,78,107,118,117,21,62,33
0.8369174003601074,40,74,46,40,34,32,46,29,40,20
0.8245028257369995,505,460,519,486,519,488,519,486,520,498
0.8148369193077087,46,28,52,49,38,70,75,83,69,63
0.8003090620040894,96,20,43,46,100,37,31,35,32,94
0.7785578966140747,504,457,519,486,519,488,519,486,520,498
0.7625316977500916,501,457,516,477,517,468,516,439,520,493
0.749055802822113,173,193,151,61,62,64,110,38,219,253
0.7381525635719299,440,305,503,449,477,468,423,425,427,410
0.7315196990966797,313,140,406,397,440,427,433,399,353,267
0.7124479413032532,302,103,357,348,378,354,378,363,361,137
0.6948515772819519,504,459,519,486,518,484,519,485,518,497
0.6905336380004883,418,303,439,416,450,418,438,434,375,386
0.6813202500343323,505,460,519,486,519,488,519,486,520,498
0.6683734655380249,235,277,353,313,280,405,327,220,286,368
0.6647447943687439,502,446,511,464,496,474,514,479,516,490
0.6558985114097595,89,67,67,57,51,78,47,54,91,76
0.6499404311180115,502,456,517,484,518,484,517,483,520,476
0.6459923982620239,505,460,519,486,519,488,519,486,520,498
0.6258037090301514,485,442,466,434,459,448,452,452,510,484
0.6155805587768555,77,287,79,87,124,57,99,163,104,194
0.6092925667762756,505,460,519,486,519,488,519,486,520,498
0.598537266254425,466,329,404,408,420,413,388,444,454,417
0.5944419503211975,169,239,179,137,131,138,227,117,183,131
0.5934705138206482,453,405,442,459,476,456,440,462,437,443
0.5792878270149231,134,123,51,67,100,23,48,34,122,87
0.5752544403076172,505,460,519,486,519,488,519,486,520,498
0.5722320675849915,57,39,37,24,47,36,25,65,35,23
0.5682106018066406,287,310,273,201,260,204,217,211,166,260
0.559561550617218,10,10,9,12,11,11,9,10,12,28
0.5530780553817749,166,131,86,157,125,117,103,155,204,126
0.5435434579849243,505,460,519,485,519,487,519,486,520,498
0.5351446866989136,47,24,10,13,9,9,18,14,39,23
0.5307594537734985,87,197,47,36,67,39,87,12,104,118
0.5285277366638184,465,447,481,456,469,465,500,442,515,481
0.5199545621871948,499,460,515,462,502,478,511,480,493,496
0.518233597278595,11,3,19,10,8,4,9,4,4,6
0.5128476619720459,0,8,8,4,1,10,2,4,4,6
0.5098752975463867,256,97,207,234,276,201,172,244,128,245
0.5063880681991577,338,175,307,246,273,183,260,216,274,118
0.5034905076026917,1,1,2,3,10,8,2,6,8,0
0.4925480782985687,3,1,4,6,0,2,5,3,2,4
0.4916210472583771,132,101,126,138,130,85,133,158,150,114
0.48648980259895325,505,460,519,486,519,488,519,486,520,498
0.47962114214897156,496,460,496,470,506,477,500,474,503,497
0.4762738347053528,504,460,519,486,519,488,519,486,520,498
0.47089794278144836,0,0,1,0,0,1,0,0,1,0
0.4689427316188812,0,0,1,0,0,0,0,1,1,0
0.46160635352134705,11,18,20,23,14,24,26,18,13,5
0.45907214283943176,1,0,2,0,5,3,0,2,0,0
0.45764562487602234,505,460,519,486,519,488,519,486,520,498
0.4527672529220581,500,447,509,478,513,482,516,481,516,495
0.44630149006843567,488,437,463,469,497,468,506,458,503,468
0.44612908363342285,341,107,382,233,362,281,236,275,219,167
0.44100773334503174,0,0,2,0,0,0,0,0,0,0
0.43802937865257263,505,460,519,486,519,488,519,486,520,498
0.4349919259548187,147,170,86,215,62,123,128,106,232,285
0.4329920709133148,293,129,316,226,275,188,280,190,300,171
0.43139174580574036,0,0,0,0,0,0,0,0,0,0
0.4289413392543793,505,460,519,486,519,488,519,486,520,498
0.4246293306350708,505,459,519,486,519,488,519,486,520,498
0.42297276854515076,505,460,519,486,519,488,519,486,520,498
0.4194600582122803,5,20,10,7,5,22,12,6,7,2
0.416852205991745,1,0,1,0,0,0,0,0,0,0
0.41456085443496704,505,460,518,485,518,488,519,486,519,498
0.4113060534000397,1,0,0,0,0,0,0,0,0,0
0.4095556437969208,1,0,0,0,0,0,0,0,2,0
0.40711814165115356,176,79,190,290,251,204,193,268,272,137
0.4058569073677063,415,441,421,436,431,420,491,373,473,467
0.4042065441608429,14,54,17,12,20,25,44,14,42,91
0.39936506748199463,0,0,0,0,0,0,0,0,0,0
0.39704790711402893,7,19,8,12,14,14,23,18,5,10
0.3955901563167572,505,460,519,486,519,488,519,486,520,498
0.39346539974212646,1,13,10,23,10,24,18,14,17,36
0.39085108041763306,0,0,0,0,0,0,0,0,0,0
0.3884347975254059,9,54,12,22,11,10,19,13,10,11
0.3852211833000183,2,2,9,1,4,7,4,10,6,6
0.3833375871181488,56,124,101,81,93,81,112,130,88,96
0.38144364953041077,86,38,112,87,70,76,61,137,84,46
0.3793357312679291,0,0,0,0,0,0,0,0,0,0
0.37871333956718445,152,141,195,206,214,162,212,185,122,199
0.3775911033153534,0,0,0,0,0,0,1,0,0,0
0.37278831005096436,505,460,517,484,519,487,519,486,520,497
0.37188267707824707,57,32,40,18,20,5,43,37,69,29
0.36974674463272095,0,0,0,0,0,0,0,0,0,0
0.36825594305992126,0,0,0,0,0,0,0,0,0,0
0.3663285970687866,124,270,105,76,110,78,126,124,111,199
0.36496755480766296,0,0,0,0,0,0,0,0,0,0
0.362569123506546,33,7,12,6,15,15,20,21,37,10
0.3605521619319916,0,0,0,0,0,0,0,0,0,0
0.35757920145988464,0,0,0,0,0,0,0,0,0,0
0.35692813992500305,425,379,414,368,429,385,376,462,295,422
0.35464712977409363,0,0,0,0,0,0,0,0,0,0
0.35185641050338745,0,0,0,0,0,0,0,0,0,0
0.35155612230300903,0,0,0,0,1,0,1,1,1,0
0.3505801260471344,495,448,492,474,506,479,503,477,484,483
0.34718644618988037,0,0,0,0,0,0,0,0,0,0
0.34622830152511597,0,0,0,0,0,0,0,0,0,1
0.34371092915534973,1,1,1,0,1,0,1,1,2,0
0.3431564271450043,0,0,0,0,0,0,0,0,0,0
0.341444730758667,65,83,80,103,53,115,110,66,171,66
0.3389665484428406,163,48,110,175,171,99,184,144,160,130
0.3384190499782562,103,136,155,95,159,122,118,135,109,68
0.33784905076026917,0,0,0,0,0,0,0,0,0,0
0.3343072533607483,0,0,0,1,0,0,0,0,2,1
0.3332098126411438,25,16,36,37,35,56,50,47,42,51
0.3299548327922821,19,5,47,12,36,27,19,32,8,7
0.3296547532081604,503,460,515,484,519,487,519,486,519,498
0.32815122604370117,19,95,7,32,18,13,45,6,50,80
0.32742932438850403,0,0,0,0,0,0,0,0,0,0
0.32614466547966003,0,0,0,2,0,0,0,0,0,0
0.32434505224227905,505,460,519,486,519,488,519,486,520,498
0.32107996940612793,1,26,2,5,1,5,8,2,12,7
0.32051873207092285,0,0,0,0,0,0,0,0,0,0
0.3188436031341553,0,0,0,0,0,0,0,0,0,0
0.3176534175872803,0,0,0,0,0,0,0,0,0,0
0.3163602352142334,0,0,0,0,0,0,0,0,0,0
0.3150906264781952,0,2,0,0,0,0,0,0,1,0
0.3140508234500885,0,0,0,0,0,0,0,0,0,0
0.3122527301311493,0,0,0,0,0,0,0,0,0,0
0.3100660443305969,4,1,13,0,5,3,0,1,1,0
0.3096714913845062,441,426,460,449,483,471,497,451,440,461
0.30921483039855957,0,0,0,0,2,0,0,2,0,0
0.3066585958003998,0,0,0,0,0,0,0,0,0,0
0.30541369318962097,8,7,6,2,9,3,4,7,5,10
0.3047236204147339,0,0,0,0,0,0,0,0,0,0
0.30290156602859497,0,0,0,0,0,0,0,0,0,0
0.3024697005748749,222,252,281,267,330,330,283,309,280,342
0.30193543434143066,10,3,9,14,7,8,13,13,18,12
0.2985999584197998,13,41,40,19,15,31,24,38,41,38
0.2970825433731079,0,0,0,0,0,0,0,0,0,0
0.2955351769924164,1,0,1,0,0,0,0,0,0,0
0.29373687505722046,0,0,0,0,0,0,0,0,0,0
0.29310083389282227,0,0,0,0,0,0,0,0,0,0
0.2924250662326813,0,0,0,0,0,0,0,0,0,0
0.2923034727573395,0,0,0,0,0,0,0,0,0,0
0.2902217209339142,0,0,0,0,0,0,0,0,0,0
0.2900557816028595,0,0,0,0,0,0,0,0,0,0
0.2876042127609253,0,0,0,0,0,0,0,0,0,0
0.2862357199192047,451,429,434,427,449,450,478,426,488,450
0.28586041927337646,0,0,0,0,0,0,0,0,0,0
0.2836257517337799,0,0,0,0,0,0,0,0,1,0
0.2833983302116394,0,0,0,0,0,0,0,0,0,0
0.2815014123916626,0,0,0,0,0,0,0,0,0,0
0.2804885506629944,0,0,0,0,0,0,0,0,0,0
0.27960675954818726,0,0,0,0,0,0,0,0,0,0
0.2791449725627899,1,0,4,4,1,9,2,7,2,1
0.27735185623168945,0,0,0,0,0,0,0,0,0,0
0.27612343430519104,0,0,0,0,0,0,0,0,0,0
0.27532657980918884,0,0,0,0,0,0,0,0,0,0
0.27384433150291443,0,0,0,0,0,0,0,0,0,0
0.27364644408226013,0,0,0,0,0,0,0,0,0,0
0.2710760831832886,0,0,0,0,0,0,0,0,0,0
0.27097687125205994,0,0,0,0,0,0,0,0,0,0
0.26995784044265747,0,0,0,0,0,0,0,0,0,0
0.2689613401889801,0,0,0,0,0,0,0,0,0,0
0.26751992106437683,0,0,0,0,0,0,0,0,0,0
0.2665715217590332,0,0,0,0,0,0,0,0,0,0
0.26567143201828003,0,0,0,0,0,0,0,0,0,0
0.26502108573913574,0,0,0,0,0,0,0,0,0,0
0.2643262445926666,5,1,0,5,2,4,3,2,0,1
0.26302194595336914,0,0,0,0,0,0,0,0,0,0
0.26268255710601807,0,0,0,0,0,0,0,0,0,0
0.2613470256328583,374,433,424,385,399,453,469,362,404,407
0.2607746720314026,2,0,7,13,5,11,4,4,6,1
0.259652316570282,0,0,0,0,0,0,0,0,0,0
0.25850939750671387,0,0,0,0,0,0,0,0,0,0
0.2575163245201111,0,0,0,0,0,0,0,0,0,0
0.25675448775291443,0,0,0,0,0,0,0,0,0,0
0.25650233030319214,148,226,145,124,119,158,141,103,153,139
0.25495392084121704,0,0,0,0,0,0,0,0,0,0
0.2544056475162506,0,0,0,0,0,0,0,0,0,0
0.2534125745296478,0,0,0,0,0,0,0,0,0,0
0.25307008624076843,0,0,0,0,0,0,0,0,0,0
0.25153881311416626,0,0,0,0,0,0,0,0,0,0
0.25004249811172485,0,0,0,0,0,0,0,0,0,0
0.24909254908561707,0,0,0,0,0,0,0,0,0,0
0.24837137758731842,0,0,0,0,0,0,0,0,0,0
0.24739176034927368,0,0,0,0,0,0,0,0,0,0
0.2465471476316452,0,0,0,0,0,0,0,0,0,0
0.2454141229391098,0,0,0,0,0,0,0,0,0,0
0.2446398288011551,0,0,0,0,0,0,0,0,0,0
0.2425539642572403,0,0,0,0,0,0,0,0,0,0
0.24164065718650818,0,0,0,0,0,0,0,0,0,0
0.24104227125644684,0,0,0,0,0,0,0,0,0,0
0.2406127154827118,0,0,0,0,0,0,0,0,0,0
0.23995520174503326,0,0,0,0,0,0,0,0,0,0
0.23791326582431793,0,0,0,0,0,0,0,0,0,0
0.2361590564250946,0,0,0,0,0,0,0,0,0,0
0.23562219738960266,0,0,0,0,0,0,0,0,0,0
0.2343490570783615,0,0,0,0,0,0,0,0,0,0
0.23299896717071533,0,0,0,0,0,0,0,0,0,0
0.23222704231739044,0,0,0,0,0,0,0,0,0,0
0.23149505257606506,0,0,0,0,0,0,0,0,0,0
0.2301500290632248,0,0,0,0,0,0,0,0,0,0
0.229657381772995,0,0,0,0,0,0,0,0,0,0
0.22817014157772064,0,0,0,0,0,0,0,0,0,0
0.2273697704076767,0,0,0,0,0,0,0,0,0,0
0.22680695354938507,0,0,0,0,0,0,0,0,0,0
0.22596001625061035,0,0,0,0,0,0,0,0,0,0
0.2253366857767105,0,0,0,0,0,0,0,0,0,0
0.2249498963356018,0,0,0,0,0,0,0,0,0,0
0.22283786535263062,0,0,0,0,0,0,0,0,0,0
0.22256329655647278,0,0,0,0,0,0,0,0,0,0
0.2215702384710312,0,0,0,0,0,0,0,0,0,0
0.22141727805137634,0,0,0,0,0,0,0,0,0,0
0.22037218511104584,0,0,0,0,0,0,0,0,0,0
0.21930931508541107,0,0,0,0,0,0,0,0,0,0
0.2184189260005951,0,0,0,0,0,0,0,0,0,0
0.21732354164123535,0,0,0,0,0,0,0,0,0,0
0.21566158533096313,0,0,0,0,0,0,0,0,0,0
0.21551093459129333,0,0,0,0,0,0,0,0,0,0
0.2142215520143509,0,0,0,0,0,0,0,0,0,0
0.21322259306907654,0,0,0,0,0,0,0,0,0,0
0.2124428153038025,0,0,0,0,0,0,0,0,0,0
0.2119884192943573,0,0,0,0,0,0,0,0,0,0
0.21057139337062836,0,0,0,0,0,0,0,0,0,0
0.20931769907474518,0,0,0,0,0,0,0,0,0,0
0.2080964893102646,0,0,0,0,0,0,0,0,0,0
0.20742163062095642,0,0,0,0,0,0,0,0,0,0
0.20628690719604492,0,0,0,0,0,0,0,0,0,0
0.20568661391735077,0,0,0,0,0,0,0,0,0,0
0.20413531363010406,0,0,0,0,0,0,0,0,0,0
0.20404569804668427,0,0,0,0,0,0,0,0,0,0
0.20348787307739258,364,411,415,423,469,453,468,444,456,469
0.20276618003845215,0,0,0,0,0,0,0,0,0,0
0.20020802319049835,0,0,0,0,0,0,0,0,0,0
0.1990155279636383,0,0,0,0,0,0,0,0,0,0
0.19809481501579285,0,0,0,0,0,0,0,0,0,0
0.19676366448402405,0,0,0,0,0,0,0,0,0,0
0.19482041895389557,0,0,0,0,0,0,0,0,0,0
0.19420577585697174,0,0,0,0,0,0,0,0,0,0
0.19376547634601593,0,0,0,0,0,0,0,0,0,0
0.1919834464788437,0,0,0,0,0,0,0,0,0,0
0.19054853916168213,0,0,0,0,0,0,0,0,0,0
0.19016440212726593,0,0,0,0,0,0,0,0,0,0
0.18982121348381042,0,0,0,0,0,0,0,0,0,0
